desa  ,longitude,latitude,luas_sawah_ha,kec,c,clat,clong
Tumpang,112.777723,-8.006244,139.0,Tumpang,0,-8.077813741918447,155.9316129943443
Tulusbesar,112.765851,-8.017182,101.0,Tumpang,2,-8.076277541865924,60.962571606312025
Benjor,112.825488,-7.998235,1.0,Tumpang,2,-8.076277541865924,60.962571606312025
Duwet,112.800165,-8.013865,1.0,Tumpang,2,-8.076277541865924,60.962571606312025
Duwetkrajan,112.819446,-8.019014,1.0,Tumpang,2,-8.076277541865924,60.962571606312025
Dawuhan,112.768835,-8.090415,93.5,Poncokusumo,2,-8.076277541865924,60.962571606312025
Sumberejo,112.804554,-8.088341,3.0,Poncokusumo,2,-8.076277541865924,60.962571606312025
Pandansari,112.804503,-8.068035,1.0,Poncokusumo,2,-8.076277541865924,60.962571606312025
Ngadireso,112.777769,-8.072288,81.0,Poncokusumo,2,-8.076277541865924,60.962571606312025
Karanganyar,112.753977,-8.068651,147.0,Poncokusumo,0,-8.077813741918447,155.9316129943443
Jambesari,112.735938,-8.069622,178.0,Poncokusumo,0,-8.077813741918447,155.9316129943443
Pajaran,112.721179,-8.042527999999999,152.2,Poncokusumo,0,-8.077813741918447,155.9316129943443
Argosuko,112.73587,-8.032561999999999,196.0,Poncokusumo,0,-8.077813741918447,155.9316129943443
Ngebruk,112.735974,-8.049342,176.0,Poncokusumo,0,-8.077813741918447,155.9316129943443
Karangnongko,112.756936,-8.050426,164.755,Poncokusumo,0,-8.077813741918447,155.9316129943443
Wonomulyo,112.753898,-8.033057000000001,110.0,Poncokusumo,0,-8.077813741918447,155.9316129943443
Belung,112.765903,-8.02732,143.0,Poncokusumo,0,-8.077813741918447,155.9316129943443
Wonorejo,112.783713,-8.046722,65.0,Poncokusumo,2,-8.076277541865924,60.962571606312025
Poncokusumo,112.834257,-8.049679,1.0,Poncokusumo,2,-8.076277541865924,60.962571606312025
Wringinanom,112.801563,-8.035185,1.0,Poncokusumo,2,-8.076277541865924,60.962571606312025
Gubugklakah,112.843382,-8.012369999999999,1.0,Poncokusumo,2,-8.076277541865924,60.962571606312025
Ngadas,112.893989,-8.035874,1.0,Poncokusumo,2,-8.076277541865924,60.962571606312025
Tambakasri,112.634747,-8.055285000000001,122.0,Tajinan,0,-8.077813741918447,155.9316129943443
Tangkilsari,112.652664,-8.054364,150.3,Tajinan,0,-8.077813741918447,155.9316129943443
Jambearjo,112.660062,-8.07558,131.0,Tajinan,0,-8.077813741918447,155.9316129943443
Jatisari,112.670503,-8.068512,90.0,Tajinan,2,-8.076277541865924,60.962571606312025
Pandanmulyo,112.689942,-8.078642,215.2,Tajinan,1,-8.145971173121303,279.00798459819464
Ngawonggo,112.706298,-8.076551,144.0,Tajinan,0,-8.077813741918447,155.9316129943443
Purwosekar,112.700302,-8.061714,187.8,Tajinan,0,-8.077813741918447,155.9316129943443
Gunungronggo,112.706484,-8.051252999999999,136.0,Tajinan,0,-8.077813741918447,155.9316129943443
Gunungsari,112.694344,-8.041730000000001,62.0,Tajinan,2,-8.076277541865924,60.962571606312025
Tajinan,112.679334,-8.049909,84.7,Tajinan,2,-8.076277541865924,60.962571606312025
Randugading,112.670533,-8.058046000000001,129.0,Tajinan,0,-8.077813741918447,155.9316129943443
Sumbersuko,112.66463799999998,-8.043168,136.0,Tajinan,0,-8.077813741918447,155.9316129943443
Sukonolo,112.612221,-8.110268,232.0,Bululawang,1,-8.145971173121303,279.00798459819464
Gading,112.628765,-8.106638,60.0,Bululawang,2,-8.076277541865924,60.962571606312025
Krebet,112.640664,-8.105938,176.0,Bululawang,0,-8.077813741918447,155.9316129943443
Bakalan,112.652685,-8.120606,138.657,Bululawang,0,-8.077813741918447,155.9316129943443
Sudimoro,112.670483,-8.124599,117.5,Bululawang,0,-8.077813741918447,155.9316129943443
Kasri,112.676433,-8.108977000000001,105.0,Bululawang,2,-8.076277541865924,60.962571606312025
Pringu,112.682454,-8.098529,176.0,Bululawang,0,-8.077813741918447,155.9316129943443
Kasembon,112.676429,-8.088550999999999,168.0,Bululawang,0,-8.077813741918447,155.9316129943443
Kuwolu,112.658561,-8.09477,136.0,Bululawang,0,-8.077813741918447,155.9316129943443
Krebetsenggrong,112.648128,-8.091330000000001,96.5,Bululawang,2,-8.076277541865924,60.962571606312025
Lumbangsari,112.628768,-8.091489,151.0,Bululawang,0,-8.077813741918447,155.9316129943443
Wandanpuro,112.634802,-8.075761,129.379,Bululawang,0,-8.077813741918447,155.9316129943443
Bululawang,112.64515,-8.07645,87.0,Bululawang,2,-8.076277541865924,60.962571606312025
Sempalwadak,112.642966,-8.063077999999999,77.081,Bululawang,2,-8.076277541865924,60.962571606312025
Kelurahan Turen,112.694374,-8.16924,103.0,Turen,2,-8.076277541865924,60.962571606312025
Kelurahan Sedayu,112.682409,-8.185275,81.0,Turen,2,-8.076277541865924,60.962571606312025
Kemulan,112.652614,-8.227822999999999,180.0,Turen,0,-8.077813741918447,155.9316129943443
Tawangrejeni,112.676449,-8.226376,181.0,Turen,0,-8.077813741918447,155.9316129943443
Sawahan,112.658583,-8.212148,257.0,Turen,1,-8.145971173121303,279.00798459819464
Undaan,112.678032,-8.197121000000001,98.7,Turen,2,-8.076277541865924,60.962571606312025
Gedog Kulon,112.680942,-8.204489,114.0,Turen,0,-8.077813741918447,155.9316129943443
Gedog Wetan,112.694341,-8.209736,129.0,Turen,0,-8.077813741918447,155.9316129943443
Talok,112.70034,-8.189275,160.0,Turen,0,-8.077813741918447,155.9316129943443
Tanggung,112.676465,-8.175011999999999,123.0,Turen,0,-8.077813741918447,155.9316129943443
Jeru,112.676517,-8.160044000000001,120.0,Turen,0,-8.077813741918447,155.9316129943443
Pagedangan,112.712178,-8.162841,150.0,Turen,0,-8.077813741918447,155.9316129943443
Sanankerto,112.741895,-8.150794,243.0,Turen,1,-8.145971173121303,279.00798459819464
Sananrejo,112.718183,-8.14749,147.7,Turen,0,-8.077813741918447,155.9316129943443
Kedok,112.700184,-8.143034,92.0,Turen,2,-8.076277541865924,60.962571606312025
Talangsuko,112.682318,-8.144213,194.0,Turen,0,-8.077813741918447,155.9316129943443
Tumpukrenteng,112.694307,-8.128359,145.0,Turen,0,-8.077813741918447,155.9316129943443
